Epoch,MNIST_M,SVHN,SynthDigits
0,0.323716193437576,0.345649987459183,0.330633819103241
1,0.263467699289322,0.365045726299286,0.371486574411392
2,0.168834313750267,0.245086640119553,0.586079061031342
3,0.104667842388153,0.142291739583015,0.753040373325348
4,0.064073078334332,0.082330763339996,0.853596150875092
5,0.038785189390183,0.046396251767874,0.914818525314331
6,0.022476634010673,0.025246167555451,0.952277183532715
7,0.012675758451223,0.013496260158718,0.97382789850235
8,0.007040665019304,0.007062820252031,0.985896527767181
9,0.004109065979719,0.003810391528532,0.992080509662628
10,0.002587612019852,0.002280848799273,0.995131492614746
11,0.001775476848707,0.001510064466856,0.996714472770691
12,0.001308359438553,0.001086192787625,0.997605323791504
13,0.001018325448968,0.000826977426186,0.998154699802399
14,0.000816985208075,0.000655510695651,0.998527526855469
15,0.000677884556353,0.000537257757969,0.998784959316254
16,0.000577544386033,0.000454480497865,0.998968005180359
17,0.00050163740525,0.000390680273995,0.999107658863068
18,0.000442855380243,0.000342362414813,0.999214768409729
19,0.000392843561713,0.000301991414744,0.999305129051208
20,0.000352385046426,0.000270064629149,0.999377548694611
21,0.00031820993172,0.000243321279413,0.999438464641571
22,0.000290269759716,0.00022070556588,0.999489068984985
23,0.000266202987405,0.00020174778183,0.999532103538513
24,0.000245579256443,0.00018574524438,0.99956864118576
25,0.000227272787015,0.000171386564034,0.999601423740387
26,0.000211082267924,0.000159025701578,0.999629974365234
27,0.000195839471417,0.000147109443787,0.999657154083252
28,0.00018317750073,0.000137136201374,0.999679684638977
29,0.000171920080902,0.000128375468194,0.999699711799622
30,0.000162259777426,0.000121027202113,0.999716579914093
31,0.000152679174789,0.000113669048005,0.999733626842499
32,0.000144490244566,0.000107356157969,0.999748170375824
33,0.000136647577165,0.000101414494566,0.999761879444122
34,0.000129746491439,0.0000960509132710286,0.999774158000946
35,0.000123713063658,0.000091352267190814,0.999785006046295
36,0.000117886018415,0.0000868379502207972,0.999795258045196
37,0.000112579051347,0.0000826736359158531,0.999804675579071
38,0.000107597283204,0.0000788564648246393,0.999813497066498
39,0.000103156315163,0.0000753355780034326,0.999821603298187
40,0.000099112767202314,0.000072211361839436,0.999828577041626
41,0.0000953013732214458,0.0000692176035954617,0.99983537197113
42,0.0000917527213459834,0.0000665518746245652,0.999841690063477
43,0.0000883134343894199,0.0000639521749690175,0.999847650527954
44,0.0000850873839226551,0.0000615625831414945,0.999853253364563
45,0.000082074744568672,0.0000593236036365852,0.999858498573303
46,0.0000791803977335803,0.0000571378805034328,0.999863743782043
47,0.0000765307704568841,0.0000551637531316374,0.999868273735046
48,0.0000739696624805219,0.0000532198500877712,0.999872803688049
49,0.0000716127615305595,0.0000514482380822301,0.999876856803894
50,0.0000694513219059445,0.0000498401423101313,0.99988067150116
51,0.0000672536916681565,0.0000482414907310158,0.999884486198425
52,0.000065205451392103,0.0000467250138171949,0.999888062477112
53,0.0000633195595582947,0.0000452757521998137,0.999891400337219
54,0.0000614966993452981,0.0000439136420027353,0.999894618988037
55,0.0000597447724430822,0.0000425891630584374,0.999897718429565
56,0.000057977140386356,0.0000412761255574878,0.999900817871094
57,0.0000564673282497097,0.0000401155230065342,0.999903321266174
58,0.0000550023542018607,0.0000390182831324637,0.999906063079834
59,0.0000535467661393341,0.0000379271332349162,0.999908566474915
60,0.0000522707669006195,0.0000369860026694369,0.999910712242126
