fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
0.000000000000000000e+00,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
2.645502645502645356e-03,2.380952380952380820e-02
