Epoch,MNIST,MNIST_M,SynthDigits
0,0.323716193437576,0.345649987459183,0.330633819103241
1,0.529761135578156,0.235208809375763,0.235030025243759
2,0.495447516441345,0.225805163383484,0.278747290372848
3,0.439069628715515,0.245564013719559,0.315366357564926
4,0.410147845745087,0.25773823261261,0.332113921642303
5,0.398361921310425,0.265847861766815,0.335790246725082
6,0.385721474885941,0.271683126688004,0.342595398426056
7,0.380363702774048,0.2778160572052,0.341820240020752
8,0.373484164476395,0.283883273601532,0.342632561922073
9,0.369360595941544,0.285994589328766,0.344644784927368
10,0.365194439888,0.290344327688217,0.344461292028427
11,0.36165064573288,0.29034036397934,0.348009049892426
12,0.359996914863586,0.292686641216278,0.347316384315491
13,0.359662890434265,0.295413434505463,0.344923704862595
14,0.355572640895843,0.299306720495224,0.345120668411255
15,0.354005128145218,0.2994304895401,0.346564412117004
16,0.352659493684769,0.302546232938766,0.344794303178787
17,0.350435465574264,0.303397357463837,0.346167117357254
18,0.348498940467834,0.305889040231705,0.345612049102783
19,0.349571108818054,0.304669201374054,0.345759660005569
20,0.347017765045166,0.30772465467453,0.345257580280304
21,0.347076505422592,0.307323664426804,0.345599800348282
22,0.345726311206818,0.310302972793579,0.343970715999603
23,0.347582221031189,0.308805972337723,0.343611806631088
24,0.343022406101227,0.310426622629166,0.34655100107193
25,0.342758744955063,0.312373727560043,0.344867527484894
26,0.341888457536697,0.31223800778389,0.345873534679413
27,0.341757446527481,0.313465595245361,0.344777017831802
28,0.342146128416061,0.312782973051071,0.345070868730545
29,0.341318368911743,0.315406531095505,0.343275129795074
30,0.341932713985443,0.314177840948105,0.343889474868774
31,0.341152429580688,0.312869280576706,0.345978319644928
32,0.34109103679657,0.316164135932922,0.342744827270508
33,0.340168923139572,0.314550578594208,0.34528049826622
34,0.339599072933197,0.314111441373825,0.346289545297623
35,0.339608997106552,0.315736651420593,0.344654351472855
36,0.339802265167236,0.314936518669128,0.345261245965958
37,0.338360756635666,0.317406177520752,0.34423303604126
38,0.339110314846039,0.314230144023895,0.346659511327744
39,0.338065981864929,0.31646528840065,0.345468699932098
40,0.336941450834274,0.317043840885162,0.346014738082886
41,0.337331265211105,0.316051542758942,0.346617192029953
42,0.338263094425201,0.315347969532013,0.346388906240463
43,0.337061047554016,0.315957844257355,0.346981078386307
44,0.337962031364441,0.316747933626175,0.345290064811707
45,0.335726410150528,0.319477289915085,0.34479632973671
46,0.336582750082016,0.318576544523239,0.344840675592422
47,0.338133752346039,0.317842125892639,0.344024121761322
48,0.337394237518311,0.317491829395294,0.345113903284073
49,0.336936801671982,0.319761663675308,0.34330153465271
50,0.33665943145752,0.319283574819565,0.344056963920593
51,0.33746150135994,0.318076461553574,0.344462066888809
52,0.337313175201416,0.318731278181076,0.343955546617508
53,0.33649155497551,0.319399029016495,0.344109386205673
54,0.336811274290085,0.319588124752045,0.34360060095787
55,0.336820930242538,0.320957213640213,0.342221856117249
56,0.336680620908737,0.320009827613831,0.343309581279755
57,0.336853533983231,0.319838345050812,0.34330815076828
58,0.33566477894783,0.321594625711441,0.342740565538406
59,0.335456818342209,0.321782022714615,0.342761099338531
60,0.336965024471283,0.320643305778503,0.342391669750214
