Epoch,MDAN,MixMDAN,Ours
0,0.046184738955823,0.046184738955823,0.058232931726908
1,0.913654618473896,0.963855421686747,0.933734939759036
2,0.967871485943775,0.983935742971888,0.975903614457831
3,0.981927710843374,0.987951807228916,0.983935742971888
4,0.987951807228916,0.993975903614458,0.985943775100401
5,0.991967871485944,0.993975903614458,0.991967871485944
6,0.991967871485944,0.991967871485944,0.995983935742972
7,0.993975903614458,0.995983935742972,0.995983935742972
8,0.995983935742972,0.993975903614458,0.997991967871486
9,0.995983935742972,0.993975903614458,0.995983935742972
10,0.995983935742972,0.993975903614458,0.997991967871486
11,0.995983935742972,0.993975903614458,0.995983935742972
12,0.995983935742972,0.997991967871486,0.995983935742972
13,0.993975903614458,0.995983935742972,0.995983935742972
14,0.98995983935743,0.997991967871486,1
15,0.991967871485944,0.995983935742972,0.997991967871486
16,0.995983935742972,0.995983935742972,0.997991967871486
17,0.993975903614458,0.997991967871486,1
18,0.991967871485944,0.995983935742972,1
19,0.991967871485944,0.997991967871486,1
20,0.987951807228916,0.995983935742972,1
21,0.993975903614458,0.995983935742972,1
22,0.991967871485944,1,0.997991967871486
23,0.991967871485944,0.993975903614458,0.997991967871486
24,0.993975903614458,0.995983935742972,0.997991967871486
25,0.991967871485944,0.995983935742972,0.997991967871486
26,0.98995983935743,0.995983935742972,0.997991967871486
27,0.98995983935743,0.995983935742972,0.997991967871486
28,0.987951807228916,0.995983935742972,0.997991967871486
29,0.983935742971888,0.995983935742972,0.997991967871486
30,0.979919678714859,0.997991967871486,0.997991967871486
31,0.973895582329317,0.993975903614458,0.997991967871486
32,0.981927710843374,0.997991967871486,0.997991967871486
33,0.959839357429719,0.997991967871486,0.997991967871486
34,0.951807228915663,0.997991967871486,0.997991967871486
35,0.957831325301205,0.997991967871486,0.997991967871486
36,0.959839357429719,0.997991967871486,0.997991967871486
37,0.959839357429719,0.995983935742972,0.997991967871486
38,0.959839357429719,0.995983935742972,0.997991967871486
39,0.957831325301205,0.997991967871486,0.997991967871486
40,0.963855421686747,0.995983935742972,0.997991967871486
41,0.953815261044177,0.995983935742972,0.997991967871486
42,0.953815261044177,0.997991967871486,0.997991967871486
43,0.949799196787149,0.995983935742972,0.997991967871486
44,0.969879518072289,0.995983935742972,0.997991967871486
45,0.963855421686747,0.997991967871486,0.997991967871486
46,0.957831325301205,0.997991967871486,0.997991967871486
47,0.963855421686747,1,0.997991967871486
48,0.961847389558233,1,0.997991967871486
49,0.965863453815261,0.995983935742972,0.997991967871486
50,0.955823293172691,0.997991967871486,0.997991967871486
51,0.955823293172691,0.997991967871486,0.997991967871486
52,0.963855421686747,0.995983935742972,0.997991967871486
53,0.949799196787149,0.995983935742972,0.997991967871486
54,0.937751004016064,0.997991967871486,0.997991967871486
55,0.941767068273092,0.995983935742972,0.997991967871486
56,0.923694779116466,0.995983935742972,0.997991967871486
57,0.931726907630522,0.997991967871486,0.997991967871486
58,0.933734939759036,0.997991967871486,0.997991967871486
59,0.941767068273092,0.997991967871486,0.997991967871486
60,0.931726907630522,0.995983935742972,0.997991967871486
