Epoch,MNIST,SVHN,SynthDigits
0,0.323716193437576,0.345649987459183,0.330633819103241
1,0.741016864776611,0.105360172688961,0.153623029589653
2,0.868126213550568,0.035366047173739,0.096507735550404
3,0.896956503391266,0.016317382454872,0.086726143956184
4,0.89065021276474,0.009302245453,0.100047521293163
5,0.859546363353729,0.006142104044557,0.134311467409134
6,0.81674337387085,0.004316851031035,0.178939670324326
7,0.760588705539703,0.003241358324885,0.236169993877411
8,0.706125140190125,0.00248498795554,0.2913898229599
9,0.669351160526276,0.001950592151843,0.328698247671127
10,0.641102850437164,0.001591379521415,0.357305735349655
11,0.615811169147491,0.001325021265075,0.382863789796829
12,0.594738125801086,0.001138950116001,0.404122948646545
13,0.580363988876343,0.000994068570435,0.418641924858093
14,0.572617769241333,0.000881591113284,0.426500618457794
15,0.568507611751556,0.000790585414506,0.430701851844788
16,0.556593656539917,0.000718383933417,0.44268798828125
17,0.552450180053711,0.000653503986541,0.446896314620972
18,0.552121341228485,0.000598789250944,0.447279840707779
19,0.546548545360565,0.000552314566448,0.452899187803268
20,0.54470294713974,0.000511658785399,0.454785376787186
21,0.538057446479797,0.000477042398416,0.46146547794342
22,0.53561806678772,0.000445141282398,0.463936805725098
23,0.53564316034317,0.000416339142248,0.463940531015396
24,0.533272683620453,0.000390181288822,0.466337114572525
25,0.532845199108124,0.00036756778718,0.466787189245224
26,0.529803514480591,0.000346830376657,0.469849586486816
27,0.527609407901764,0.000327864952851,0.472062736749649
28,0.524020135402679,0.000311493640766,0.475668340921402
29,0.52732515335083,0.000296223064652,0.472378671169281
30,0.524015247821808,0.000282124936348,0.475702673196793
31,0.521698474884033,0.000268992676865,0.478032529354095
32,0.524003088474274,0.000256417464698,0.475740492343903
33,0.520870685577393,0.00024549048976,0.4788838326931
34,0.520967125892639,0.000234753882978,0.478798121213913
35,0.520152509212494,0.000225083451369,0.479622423648834
36,0.518274903297424,0.000215942796785,0.481509149074554
37,0.519973397254944,0.000207636578125,0.479818910360336
38,0.516575038433075,0.000200084221433,0.483224838972092
39,0.517773330211639,0.000192469320609,0.482034236192703
40,0.517105638980866,0.000185650511412,0.482708632946014
41,0.518100202083588,0.000179400405614,0.481720387935638
42,0.517763197422028,0.000173506094143,0.482063353061676
43,0.516069948673248,0.000167744714417,0.483762323856354
44,0.516501128673553,0.000162047348567,0.483336865901947
45,0.518410861492157,0.000156729947776,0.481432408094406
46,0.51512348651886,0.000152050706674,0.484724432229996
47,0.51659482717514,0.0001474107994,0.483257800340652
48,0.516124069690704,0.000143239594763,0.483732730150223
49,0.514275074005127,0.000139225943713,0.485585659742355
50,0.515754342079163,0.00013508736447,0.484110593795776
51,0.51427572965622,0.000131417473312,0.485592812299728
52,0.515881776809692,0.000127818639157,0.483990460634232
53,0.51504510641098,0.000124193407828,0.48483070731163
54,0.514575302600861,0.000120913602586,0.48530375957489
55,0.512746155261993,0.000117720519484,0.487136095762253
56,0.512626707553864,0.000114706090244,0.487258553504944
57,0.516560733318329,0.00011174109386,0.483327478170395
58,0.514259040355682,0.000109157117549,0.485631763935089
59,0.516986727714539,0.000106528277684,0.482906728982925
60,0.513533532619476,0.000104099126474,0.486362397670746
